Session Id,Title,Description,Speakers,Session format,Level,Pre-requisites for attendees?,Topic of your presentation,Neo4j Use-Case,Your Timezone,Status,Date Submitted,Speaker Ids
380711,IAC: SchemaSmith for Data Governance at JB Hunt,"Want to express you graph in easy-to-read yaml and push an easy button to automate scripts to build out your indexes and constraints? This tool will get you at least 67.8% of the way there!

At JB Hunt we are actively working to automate processes, eliminate human errors, and have fun while doing it. Come learn about how we're making our lives easier so you can make your life easier, too!",Donovan Bergin,Full Session 30-45 min,Intermediate,"Come on, come all!","Database, Other",Shipping and Logistics,,Accepted,31 Aug 2022 08:22 PM,af478030-aa71-40e3-8aaf-00fad67e4960
369691,"PHP Devs, Change Your Life","Talk at conference in 2015 showed me Neo4j for first time and when I created first project with it, my life has changed. Let this talk to raise your desire to change your life today as PHP developer.",Michal Štefaňák,Lighting Talk 10-15 min,Introductory and overview,,"Database, API/Drivers (Python",General,Europe/Prague,Accepted,27 Jul 2022 10:06 AM,8bf81894-647b-4593-897c-a67a3ccad5e0
379650,Neo4j Ops Manager: Intro and Roadmap,"Overview of the recently released Neo4j Ops Manager product for Enterprise customers; it's use cases, features, demo and roadmap.",Chris Shelmerdine,Full Session 30-45 min,Introductory and overview,"The focus of Neo4j Ops Manager is on system administration and monitoring rather than application development. This will be more relevant for DBAs, SREs and DevOps people.",Database,General,,Accepted,30 Aug 2022 10:48 AM,6b137aad-a0b6-4cfc-af8e-1f2cd1314474
383055,A Space to Relax: Guided Meditation (AMER),"In the middle of all the interesting graph sessions you might need some time to let things land a bit, give your mind some well needed rest and come back re-charged and energised for the rest of the day.

You can listen to more of meditations here: https://soundcloud.com/burqen",Anton Persson,Lighting Talk 10-15 min,Introductory and overview,,Other,General,,Accepted,7 Sep 2022 10:27 AM,0d166c94-48f2-4cea-805b-6df967a90d92
374102,Fashion Retail Recommendation Using GDS and Apache Arrow,"We will present how to load the dataset on GDS using the new Apache Arrow Feature, then we will use the neo4j algorithms to generate the embeddings for recommendation.
In the end, we export the dataset (always using Apache Arrow Feature) with the embeddings to train a Graph Neural Network using DGL.","Filippo Minutella, Valerio Piccioni",Lighting Talk 10-15 min,"Intermediate, Advanced, Expert",,"Machine Learning, Graph Data Science",General,GMT+1,Accepted,11 Aug 2022 03:06 PM,"fa636add-f0fc-44b3-aed9-bbc78eee4fc3, ae5e2268-55a5-4166-a3fe-db8fe9079e95"
384329,Graph Modeling: The Shadow Graph,"One of the best things about working with graphs is the flexibility of the graph model.

As part of a tennis predictions app that I've been building, I needed to come up with a way to represent the actual result of a match alongside the predictions done by participants. 

After trying a few approaches, I eventually settled on what I like to think of as a shadow graph. We keep the initial subgraph representing each match, but then attach a match prediction subgraph to that match for each player, with precisely the same structure.

This technique makes it easy to add new predictions to the graph, as well as query the graph to compute prediction accuracy.

In this talk, I'll show the graph model before doing a quick walk-through of the model in action based on my (not very good!) predictions of tennis tournaments in 2022. ",Mark Needham,Lighting Talk 10-15 min,Introductory and overview,,Other,General,,Accepted,11 Sep 2022 09:53 PM,681e2639-0241-41a1-9089-a88fbf14ce06
375636,Demystifying Graph Analytics With Visualization,"If you’re serious about finding insights in your connected data sets, graph analytics are essential. These sophisticated algorithms from the world of graph theory often assign numeric scores or rankings to nodes to help make sense of the structure of the network. But business users shouldn’t need data scientist-level expertise to interpret graph analytics results. They simply want to know what’s really going on in a network: who has the most influence? Who is well connected? Who belongs to which hidden subgroup?

So how do we help users understand graph analytics in an intuitive way so that they can make fast business decisions?

Graph visualization is a proven method for displaying analytical data to non-experts. It’s so effective because it binds analytically-derived metrics to instantly recognizable visual properties of nodes and links - think color, size, node icons and link widths. That’s how developers create powerful graph visualization applications that reveal insights which often remain hidden in traditional graph representations.

In this talk, data visualization expert and Cambridge Intelligence’s chief product evangelist, Corey Lanum demonstrates how to present graph analytics in a way that users can understand easily. Using Neo4j’s graph algorithms alongside complementary front-end analytics techniques from KeyLines and ReGraph graph visualization toolkits, he’ll focus on a fascinating data set featuring large charitable donations made in the United States. He’ll reveal key donors, recipients, communities and interesting donation patterns through the universal language of visualization.
",Corey Lanum,Full Session 30-45 min,Intermediate,Web application development helpful but not required,Visualization,"General, Financial",Eastern US,Accepted,18 Aug 2022 04:13 PM,dd737d74-6d2e-4f1f-a918-f62fff5043ed
375962,Graph Database Techniques to Reduce Risk and Innovate,"This session will look at 3 unique graph prototypes recently developed by the Software Engineering Institute (SEI) to tackle challenges encountered by our DoD clients in cybersecurity, risk management, and policy.
The first prototype aids in analysis of complex software obsolescence tracking data. Using graph techniques, we analyze existing data and processes to show the relationships between the software products as well as system impacts and risks when needing to perform upgrades due the end-of-support issues. These techniques allowed for enhanced risk management activities for the program by identifying risks and system impacts early.
The second prototype is a variant of the first, but instead aids in the analysis of data related to a Software Bill of Materials (SBOM). Graphing SBOM data from a generated SPDX formatted file is a novel technique in visualizing relationships in the components that make up software intensive systems.
The final prototype involves the graphing and subsequent analysis of a document examining roles, responsibilities, artifacts, policies, and guidance.  This analysis allowed for the identification of missing artifacts from the process as well as impacts to the processes should the applicable guidance or policies implementing the process change.",Michael Bandor,Full Session 30-45 min,Introductory and overview,none,Knowledge Graph,Aerospace and Defense,US-Central,Accepted,19 Aug 2022 08:46 PM,981b020c-2eb8-422c-be5c-7775a375982b
380487,Get Started Fast With an Autonomous Cluster - this is a duplicate,We'll skip the theory and jump right into creating and using an autonomous cluster,John Stegeman,Full Session 30-45 min,Expert,,"Database, Performance",General,,Accepted,31 Aug 2022 05:23 PM,b6c16819-84d2-4cf1-919a-ab6e05dacc7e
372748,Optimizing Path Pattern Matching in Cypher,"Relationships and patterns are the essential part of the graph model and Cypher as its query language. In this session, we want to explore how to match patterns in your graph more efficiently. Sharing tips and tricks, as well as explaining more about the inner workings of the Cypher engine and Neo4j, will help you better understand how and what to model and query with paths in your graph. From simple path functions all the way to new features for efficient k-hop expansions, you'll learn a lot of useful ingredients for your successful graph journey.",Jennifer Reif,Full Session 30-45 min,"Intermediate, Introductory and overview",,"Cypher, Featured",General,US Central + Central European,Accepted,5 Aug 2022 07:55 PM,e8154769-ac25-4c42-890f-6ccd70e2ec79
375440,Towards Real-time Knowledge Graphs for Non-Player Characters in Games,"This session discusses the development of a Neo4j plugin for Epic Game's Unreal Engine to allow for communications between a game environment's players and non-player characters. This demonstration will show how game design researchers have implemented the use of Neo4j as a tool for creating long-term memory/knowledge for non-player characters, player performance recording, and other applications. ",Owen Brierley,Full Session 30-45 min,Intermediate,"Awareness of 3D game engines, familiarity with Neo4j","Other, Knowledge Graph",General,MDT,Accepted,17 Aug 2022 07:10 PM,04a82b32-2066-418b-9c18-6ad462d77c1a
381305,Arcurve Skills/Staffing Recommender,"Challenge: project planning and team building can be difficult when balancing skills, experience, and availability to get the right people on the job. Proposition: leverage data on roles, experience, skills, and capacity dynamically to dynamically recommend the best project team makeups using graph!","Mike Morley, Pete Tunkis",Full Session 30-45 min,Intermediate,"Python, cypher","Graph Data Science, Cypher, Knowledge Graph, Machine Learning","Professional Services, Human Resources",,Accepted,1 Sep 2022 04:17 PM,"9d948aef-b5e4-4e6c-b7e0-7261242f0fa3, 34a67ca6-ccd5-4b2d-bea8-ead104edf2b3"
373149,Security and Velocity Through Declarative Ingestion,"Learn about Intuit Security's Ingestion System, Munchlax. 

Munchlax is a kubernetes powered system for declaratively specifying what to ingest and how to ingest data into a graph database. 

In production today, it processes 100s of millions of records and actively helps Intuit stay compliant, map vulnerabilities to effected systems and owners, and score different sites and services for their inherent risk. All of this made possible with an ingestion system that is flexible, easy to use, and fast to develop on. 

This talk will dive into the architecture of our system and the decisions behind it. Additionally, we'll show some real examples of just how easy it is to develop new ingestion pipelines.",Zach Probst,Full Session 30-45 min,Intermediate,,"Security, Database, API/Drivers (Python",General,Pacific Time,Accepted,8 Aug 2022 02:28 PM,0a3509c7-b9c4-400a-8c70-1969b875ffe0
373163,Making Sense of Geospatial Data With Knowledge Graphs,"Knowledge graphs help contextualize and enrich data by modeling and querying relationships between entities using a graph database and have been successfully used alongside geospatial data and map tooling for use cases such as logistics and supply chain analysis, fraud detection, investigations, suitability analysis, real estate, and data journalism. In this presentation, we examine how the open-source Neo4j graph database can be used with QGIS and Python for making sense of geospatial data using graph algorithms and graph data visualization while combining data from OpenStreetMap, cadastral data, and public data portals to find insights that address the use cases mentioned above.",William Lyon,Full Session 30-45 min,Intermediate,,"Database, Visualization, Knowledge Graph, Analytics",General,US Pacific,Accepted,8 Aug 2022 03:59 PM,ccfa2117-f3a6-4054-a56f-a4f18131ecf8
378404,GraphQL Quickstart With Neo4j GraphQL Library,"GraphQL is a great fit for neo4j, extending the graph model to the API layer of your stack.  Getting started is quite easy with the right tools. In this talk, we'll explore how you can go from dataset to app in 15 minutes.",Max Andersson,Lighting Talk 10-15 min,Introductory and overview,node.js,"GraphQL, API/Drivers (Python",General,,Accepted,26 Aug 2022 11:28 AM,13013c56-acad-487b-80cf-aefd2477775f
375640,Quick Deploy GraphQL API With SST,Learn how to build and deploy a Neo4j graphQL API using the Serverless Stack Toolkit (SST).,Samuel Chalvet,Lighting Talk 10-15 min,"Intermediate, Introductory and overview",,"API/Drivers (Python, GraphQL",General,Eastern,Accepted,18 Aug 2022 04:28 PM,81f7ea5b-eae1-4a45-90ec-323aec82cf1d
373168,ETL Patterns With Neo4j Using Apache Beam,What patterns are most appropriate for building ETLs using Neo4j?  In this session we will discuss how we built the  Google Cloud DataFlow flex template using the Neo4j java API.  You can apply the same approach to building read and write operators in any framework including AWS Lambda and Google Cloud Functions.,Anthony Krinsky,Full Session 30-45 min,Advanced,"java, cypher",API/Drivers (Python,General,PST,Accepted,8 Aug 2022 04:28 PM,5c263c81-6614-4fb9-9de6-42b7a28c5973
375904,Exploring Data With Neo4j Bloom,"See how Bloom's latest updates make it even easier to visually explore and derive value from graph data, even with little to no coding. Join us for a walkthrough of some of the latest features including scene actions, timezone & timeline analysis, graph data science integrations, and perspective autosync. We'll also revisit older but still super helpful features like search phrases & deep links to give a good sense of how Bloom can help analysts, data scientists and developers alike.",Jeff Gagnon,Full Session 30-45 min,"Introductory and overview, Intermediate",,Visualization,General,EST,Accepted,19 Aug 2022 03:21 PM,c7d10719-6c7f-41d7-8d49-8cdccdce98bb
381495,Hypertext Super Collaborator,"Systems thinking inspires us to write, share and aggregate small graphs in order to discover larger ones. We compose these products of our imagination as graph shaped ""poems"" in the style of Haiku. Wiki's property graph representation joins tables and trees in the space right behind the glass and travels freely within our federation. A thematic sketch, such as ""organizing for action"", makes purposeful authoring a matter of choosing relations from a menu. Nodes that match highlight. Nodes that don't match invite another composition that brings these ideas together.",Ward Cunningham,"Full Session 30-45 min, Lighting Talk 10-15 min",Introductory and overview,Basic information representation,"Knowledge Graph, Visualization, Featured",General,,Accepted,2 Sep 2022 01:03 AM,7efae712-2d40-486f-86e8-423a0eaa1019
378837,Discover Invisible Patterns in Your Data: Connect Google Sheets Tables and Neo4j,"Let your table data tell a graph-connected data story. 

We are used to thinking about data as a table, and we have used tables at school and at work. But this type of data is hard to navigate and makes it difficult to discover patterns, unlock insights, and inform timely decisions. Recently, we moved to cloud-based technology and learned to use Google Sheets. The cloud makes it easy to share information and collaborate, but we didn't move away from table data; it is still in columns and rows.

The Neo4j graph database allows you to make sense of data and discover invisible patterns. Once you have insights and confidence about what your data is telling you, you can explain it to others and craft a marketing headline that will help your business grow.

This talk will give you guidance and code for connecting a Google Sheet to a graph in Neo4j. We will cover the fundamental transformation from table data to a graph data model. Learn Cypher queries and take the first steps to using data to empower your decisions and make your projects and  business successful.",Kateryna Nesvit,Lighting Talk 10-15 min,Introductory and overview,,"Analytics, Visualization, Knowledge Graph, Cloud (AuraDB, Best Practices, Featured","General, EdTech",,Accepted,27 Aug 2022 11:48 PM,0a2b1310-f230-4458-8d78-a6a6c5feab70
375041,"Let's Get Functional! Pull Off a Trifecta With Spring Cloud Function, Azure Functions, and Neo4j","So-called ""serverless"" may be the least accurate tech name in history, although there are countless worthy contenders for that (dis)honor. And while functions may not have a perfectly precise definition in terms of size or scope, we're far more likely to reach general agreement on functions - their purpose, scope, pros/cons, and utility - than we are to ever locate those missing servers. :)

In this session, the presenter examines what makes a capability or set of capabilities ideal candidate(s) for development and deployment as one or more functions. The presenter will then lead attendees in a Live Coding Adventure(TM) to demonstrate how to create candidate functions using the power of Spring Boot and Spring Cloud Function. Next, we'll incorporate the power of the graph, connecting our functions to a cloud-based, global-scale Neo4j database. Finally, we will deploy these open source functions via Azure Functions to demonstrate how to integrate everything in the cloud and reveal some potentially very welcome discoveries. Come to this session to learn how to incorporate functions into your critical systems. With great power...",Mark Heckler,Full Session 30-45 min,Introductory and overview,N/A,"Cloud (AuraDB, API/Drivers (Python, Other, Featured",General,US Central Timezone (Chicago),Accepted,16 Aug 2022 12:30 AM,05be364d-a57f-4e08-978d-8043d43db097
375713,Are Personal Knowledge Graphs the Next Big Thing for Search?,"There are three flavors of PKGs right now, all of which have their own merits but one, in particular, has ""next big thing"" written all over it. Join me in this session where we will walk through the three different types of PKGs, and explore how one of these types can revolutionize the way we personalize search experiances.",Ashleigh Faith,Full Session 30-45 min,Intermediate,Know what a knowledge graph is,"Knowledge Graph, Featured",General,EST,Accepted,18 Aug 2022 08:50 PM,ab0506e1-8b2d-41ad-bcee-e63a81108598
381474,Graph Data Science for Computer Vision,"In this talk we'll discuss the domain of Computer Vision and the kinds of graph modeling techniques that lend themselves well to this domain.  We will utilize a few sample use cases and explore the utilization of a graph based model and some of its potential alternatives including some considerations and trade-offs.

We'll share insights into the answers for questions about why graphs may be useful for this purpose, what makes a neural network a graph neural network, and difficulty in challenges such as defining convolutions on graphs.

We'll explore this implementation and model representation in the Neo4j GDS and some of the architectural and implementation considerations for use in integrated production environments.  These use cases will be based on real-world examples but may use generated data if/where necessary.",Anuj DA,Lighting Talk 10-15 min,"Introductory and overview, Intermediate","General familiarity or experience with data science, engineering, and data preparation practices and formats.","Graph Data Science, Machine Learning, Other","General, Aerospace and Defense, Biotechnology",,Accepted,1 Sep 2022 11:46 PM,ca8a470e-22db-4a30-8e5b-79f89b07346f
375986,Top 10 Tips for Evaluating  “Benchmark” Results,The LDBC data sets and queries have been used and abused by unscrupulous persons for both fun and profit.  This session explores the sub-optimal LDBC data model & queries and how they can be tweaked for significantly better performance.,Mark Quinsland,Lighting Talk 10-15 min,Intermediate,Basic Cypher and Data Modeling skills,Performance,General,Pacific Time ,Accepted,20 Aug 2022 12:18 AM,312c7fa3-16a8-4501-8031-8ec21beef17f
375844,Graph Algorithms and Visualization for Clinical Care Support of Pneumonia,"Looking at multiple patient journeys at once can be a feat due to the inherent complexity of healthcare data. By creating a graph connecting events from when patients get admitted to the ICU to when they are discharged including medical visits, diagnoses, labs and procedures,  we can present the patient journey in a far more intuitive way. 

We will take a deep dive into patient journeys through the Medical Information Mart for Intensive Care (MIMIC)-IV de-identified Electronic Medical Records (EMR) data from 2008-2019, for patients diagnosed with Pneumonia.

Using Neo4j and GraphXR to effectively model and analyze clinical and physiological patient data at scale, we can enable researchers and clinical practitioners to:
* Visualize the patient journey across time
* Use graph algorithms for patient phenotyping and characterization
* Develop diagnoses and treatment recommendations based on cohort-level trends
* Advance AI-enabled patient outcome prediction

Join us for this talk to learn:
* How to inject EMR data into a Neo4j graph database, connecting  patient medical history, diagnoses, medications and procedures; 
* Use Neo4j Graph Data Science graph embedding algorithms to learn low dimensional patient history representations 
* Apply graph clustering algorithms to cluster patients into similar cohorts  
* Use the graph embeddings as an input to the prediction problem of identifying patients at high-risk for 30-day readmission 
* How to use GraphXR to design a dashboard visualization for clinical use that allows clinicians to toggle between:
    *  Single patient view of their medical history
    *  Birds-eye view of the care path taken by similar patients  
    *  An explainable AI view of main factors explaining a patient’s predicted 30-day readmission result
","Ana Areias, Mengjia Kang",Full Session 30-45 min,"Introductory and overview, Intermediate",,"Graph Data Science, Visualization, Machine Learning",Healthcare,Western European Summer Time,Accepted,19 Aug 2022 12:08 PM,"c428e3c7-9627-4246-b1e5-5dc3a9722600, 2c8c6655-227f-4c55-9896-33ed97c0c782"
379303,Graph Databases for Python Developers,"Graph databases are increasingly popular in the data science field but as a Python programmer you might not have worked with one yet. Walk away from this talk understanding the current Graph DB landscape and the technologies available to Python devs. Learn both why you should implement a graph db for your applications, and what it takes to integrate with one.",Jason Koo,Full Session 30-45 min,Introductory and overview,None,Database,General,,Accepted,29 Aug 2022 04:06 PM,66726e07-256d-4ae1-b1f8-2b87c97c3546
380635,Using Graph Databases for Consumer Products,"Graph Databases can provide an excellent alternative to both SQL and other NoSQL databases when building consumer products. Learn how to get started with property graphs, as well as some best practices for modeling data effectively.

I will talk about the process of building a consumer-facing application utilizing GRANDstack, including a comparison of using property graphs vs traditional SQL or document-based databases to model data, handle business logic, and solve unique problems that traditional databases struggle with.",Chris Anthes,Full Session 30-45 min,"Introductory and overview, Intermediate",,"Database, Knowledge Graph, API/Drivers (Python, GraphQL, Best Practices",General,,Accepted,31 Aug 2022 07:09 PM,ce50d575-69c4-4006-be13-11f0fb999bad
386575,Closing Q&A AMERICAS,Emil & Andreas will answer audience questions.,"Emil Eifrem, Andreas Kollegger",Lighting Talk 10-15 min,,,,,,Accepted,19 Sep 2022 10:00 PM,"a048c517-ae6b-457a-a054-55b1870f7a94, fdef00c1-732f-49d3-b79d-fee7e3c5107d"
374665,The Heisenbugs - Finding Collusion Among Malicious Entities Through Knowledge Graph,"Life as a malware researcher (and security researcher in general) requires one to continuously develop the intuitive ability to see patterns, connections among seemingly unrelated entities. 

In this talk, we shall discuss how we can apply the concept of Knowledge Graph as a critical aid to solve a challenging technical scenario often faced by a security researcher. We can consider this scenario equivalent to an Asimovian Robot’s dilemma in taking a decision adhering to the “Laws of Robotics”.

First Law: A robot may not injure a human being or, through inaction, allow a human being to come to harm.
Second Law: A robot must obey the orders given it by human beings except where such orders would conflict with the First Law.
Third Law: A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.

If a Robot can not reason an intended action’s precedence according to three laws, it would go into an unstable mode (“Brain Freeze”) and cease to operate. 

Sometimes, this kind of scenario is also common in analyzing a malware in silo. In this talk, we shall see how we can build a graph database schema from the scratch that is relevant to the cross platform executables (Android, macOS, Linux, Windows) and build a knowledge graph organically through automation and manual analysis results that can provide answers to the researchers at the right time with right directions without the need for the researchers to explicitly ask for it. Afterall, with the proliferation of data, the answers are everywhere, it's all about asking the right questions.
",Dinesh Venkatesan,Full Session 30-45 min,"Intermediate, Introductory and overview",,"Knowledge Graph, Graph Data Science, Visualization","Financial, General",IST,Accepted,14 Aug 2022 02:57 PM,fea6664d-f094-4742-9671-2dfef2d4919d
375811,"Exploring the Relationship Between People in the Ancient Chinese Novel ""Three Kingdoms""","Let's exploring the relationship between people in the novel ""Three Kingdoms"" with Neo4j.",Shiny Zhu,Full Session 30-45 min,Introductory and overview,,"Database, Visualization, Knowledge Graph",General,UTC+8,Accepted,19 Aug 2022 09:07 AM,6997adfc-e902-448d-9022-4b5fcd833a92
375047,"Doctor.ai, A Graph-Based Medical Chatbot","Knowledge graphs are prevalent, especially in medicine and healthcare. So far, only experts can operate them. A natural language chatbot can change that. We have developed a cloud-native medical chatbot called Doctor.ai backed by a Neo4j graph. We can employ either AWS Lex, GPT-3 or Alan AI as the natural language understanding engine. This chatbot works with English and can understand German, Chinese and Japanese. Users can dictate or type the questions. Doctor.ai then converts the questions into Cypher. It queries the Neo4j graph, gets the answers and formulates them back in the target languages. With Neovis, we can display the Neo4j results in graphs, too.

Because it is completely in the cloud, Doctor.ai can scale automatically. It is also easy to use. Because Doctor.ai is also a framework, we can use different products to fulfil the same function. The recent explosion of natural language AI products will without doubt help us further improve Doctor.ai. Finally, we can switch the backend data. So we can use this technique in logistics, forestry and other industries.",Sixing Huang,Full Session 30-45 min,"Intermediate, Introductory and overview",,"Knowledge Graph, Other, Featured",Healthcare,GMT+8,Accepted,16 Aug 2022 01:20 AM,4531db2d-a07a-47d7-bfa3-3997d5aa8ec9
378154,Creating a Graphville: A Neo4j Educational Platform,"In this talk I want to share how I created a Graphville. Graph educational platform for beginner to learn Neo4j and Cypher query language. Project, that was in a passive development for a 3 years. It is a wonderful example of indie project, when a long and continuous investments of time and power become a public product. I want to look back, summarize the most important aspects of success and share it to other engineers.",Vlad Batushkov,Lighting Talk 10-15 min,"Introductory and overview, Intermediate",GitHub account,"Other, Cypher, Best Practices",EdTech,,Accepted,25 Aug 2022 04:10 PM,03adbe35-c186-4bb2-9bc8-cf513ee990b6
377704,Learn Neo4j in Chinese on the Neo4j GraphAcademy,Introduction the Chinese courses on GraphAcademy to audience who loves to read in Chinese.,Shiny Zhu,Lighting Talk 10-15 min,Introductory and overview,,Other,General,UTC+8,Accepted,24 Aug 2022 07:26 AM,6997adfc-e902-448d-9022-4b5fcd833a92
365274,From Games of Thrones to Information System Cartography,"A story telling that explains how we built a full and operational cartography solution, that makes it possible to answer dialy complex questions impacting our RUN, detect SPOFs, critical apps, detect patterns, perform GDPR analysis and continuous documentation and Dashboards with Bloom, NeoDash and GDS. Also talking about management and organizational benefits.",Adrien Sales,Full Session 30-45 min,"Introductory and overview, Intermediate",No experience required,"Visualization, Analytics, Graph Data Science","Human Resources, General",New Caledonia Standard Time ,Accepted,14 Jul 2022 09:38 PM,bc5837e0-a634-4362-b2d0-018b679e3222
380187,Running Neo4j in Docker and Deploying Neo4j Application in OpenShift,How to deploy neo4j in docker and how to deploy neo4j application in openshift,Payel Bhunia,Lighting Talk 10-15 min,Intermediate,Docker Kubernetes Openshift Container Platform,Cloud (AuraDB,Professional Services,,Accepted,31 Aug 2022 12:21 PM,61b76d95-167a-4651-8f93-09aa69b307ab
