"Partei: Nr.","Partei: Kurzbezeichnung","Partei: Name","These: Nr.","These: Titel","These: These","Position: Position","Position: Begründung"
19,"MENSCHLICHE WELT","Menschliche Welt - für das Wohl und Glücklichsein aller",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Ein generelles Tempolimit auf den Autobahnen würde Unfälle und den Treibstoffverbrauch reduzieren sowie dem Umweltschutz dienen."
20,"DKP","Deutsche Kommunistische Partei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Ein generelles Tempolimit dient der Sicherheit im Straßenverkehr. Insbesondere schwere Unfälle können durch einen gleichmäßigeren Verkehrsfluss reduziert werden. Zudem sind weitere positive Effekte wie die Reduzierung des Treibstoffverbrauchs sowie der produzierten Abgase durch den Straßenverkehr zu erwarten."
21,"Die Grauen","Die Grauen – Für alle Generationen",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu",
22,"BüSo","Bürgerrechtsbewegung Solidarität",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Wem soll das nützen? Wenn der Regierung wirklich an 'Klimaverträglichkeit' gelegen wäre, hätte sie schon längst ein bundesweites (und regional/kommunales) Magnetbahnnetz entwickelt. Dieses ist auch für den Frachtverkehr nutzbar (Stichwort: Cargo Cap).  Keine Phrasen, sondern Lösungen!"
23,"Die Humanisten","Partei der Humanisten",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral","Wir befürworten ein flexibles Tempolimit, um Schadstoffausstoß und Verkehrsunfälle zu reduzieren und den Fahrfluss zu optimieren. Die Geschwindigkeitsgrenze sollte durch digitale, automatisierte Verkehrsleitsysteme nach oben oder unten an die Bedingungen angepasst werden. Eine wissenschaftliche Begleitung des Einsatzes und der Höhe von Tempolimits ist essenziell."
24,"du.","Die Urbane. Eine HipHop Partei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Wir cruisen eh lieber. Spaß beiseite, es ist bewiesen, dass die Reduzierung von Tempo im Verkehr den Schadstoffausstoß reduziert und drastisch Unfallgefahren vermindert. Das Limit könnte außerdem deutlich für Verlagerung von Verkehr von der Straße auf die Schiene sorgen. Ein Tempolimit sollte aber unbedingt einher gehen mit deutlich geringeren Preisen für Bahnreisen. "
25,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu",
26,"dieBasis","Basisdemokratische Partei Deutschland",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral","Unentschieden. dieBasis lehnt Beschneidungen individueller Freiheit und Selbstverantwortlichkeit ab. Wir setzen auf individuelle Einsicht statt auf kollektive Verbote. [Mitgliederbefragung: Ja 46 %, Nein 44 %, Neutral 10 %]"
27,"Bündnis C","Bündnis C - Christen für Deutschland",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Für die Verkehrssicherheit und die Umwelt ist ein generelles Tempolimit wie in den Nachbarstaaten sinnvoll.Nach Angaben des Umweltbundesamtes könnten bei einem generellen Tempolimit von 130 km auf deutschen Autobahnen die Emissionen bereits um 1,9 Millionen Tonnen reduziert werden - und zwar sofort und praktisch ohne Mehrkosten."
28,"BÜRGERBEWEGUNG","Bürgerbewegung für Fortschritt und Wandel",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral","Bei uns umstritten, noch keine abschließende Festlegung."
29,"III. Weg","DER DRITTE WEG",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","neutral","Über ein Tempolimit ab einer Geschwindigkeit von über 160 km/h lässt sich diskutieren, da ab dieser Geschwindigkeit das Unfallrisiko mit schweren Folgen stark ansteigt und auch die Umweltverschmutzung besonders stark zunimmt."
30,"BÜNDNIS21","diePinken/BÜNDNIS21",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Alles, was der Staat nicht zur Aufrechterhaltung der allgemeinen Sicherheit regeln muss, sollte der Einzelne selbst entscheiden können. "
31,"LIEBE","Europäische Partei LIEBE",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu",
32,"LKR","Liberal-Konservative Reformer",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Es gibt weder signifikante Einsparungen hinsichtlich des CO2-Ausstoßes noch belastbare Hinweise, dass ein Tempolimit zu einer deutlichen Senkung der Zahl von Unfallopfern führen würde."
33,"PdF","Partei des Fortschritts",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Die Deutsche Infrastruktur ist nicht für ein generelles Tempolimit ausgelegt.  Auch hier steht die PdF für Innovationen statt Verbote. Verkehrsflusskontrollen durch intelligente Schilderbrücken könnten für Entlastung der Autobahnen sorgen, ebenso wie Gefahrenpunkte analysieren und Umweltschäden reduzieren durch punktuelle Geschwindigkeitsbegrenzungen."
34,"LfK",">> Partei für Kinder, Jugendliche und Familien ",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Ja, wir wollen ein Tempolimit einführen, um die Sicherheit im Straßenverkehr zu erhöhen und die Umweltbelastung zur reduzieren."
35,"SSW","Südschleswigscher Wählerverband",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Der SSW setzt sich für ein Tempolimit von 130 Km ein, wie es die meisten unserer europäischen Nachbarn bereits haben. Dies ist nicht nur für die Begrenzung des CO2-Ausstoßes wichtig, sondern dient auch der Reduzierung von Unfällen auf den Autobahnen. "
36,"Team Todenhöfer","Team Todenhöfer – Die Gerechtigkeitspartei",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu",
37,"UNABHÄNGIGE","UNABHÄNGIGE für bürgernahe Demokratie",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme nicht zu","Die Begrenzung der Höchstgeschwindigkeit  ist den jeweiligen Unfallzahlen der Autobahn anzupassen. "
38,"Volt","Volt Deutschland",1,"Tempolimit auf Autobahnen","Auf allen Autobahnen soll ein generelles Tempolimit gelten.","stimme zu","Wir wollen die zulässigen Höchstgeschwindigkeiten auf deutschen Straßen reduzieren. Als kurzfristig umsetzbare und nahezu kostenlose Maßnahmen zur CO2-Reduktion und als ein wichtiger Schritt in Richtung Vision Zero (keine Toten im Straßenverkehr) wollen wir die zulässige Höchstgeschwindigkeit auf Autobahnen auf 130 km/h begrenzen. Weiterhin bewirkt diese Geschwindigkeitsbegrenzung positive Effekte durch geringere Staubildung und Lärmbelästigung."
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Die Bürgerinnen und Bürger müssen sich darauf verlassen können, dass der Staat den Frieden und die Freiheit auch in außenpolitisch unruhigen Zeiten gewährleistet. Deutschland muss seinen militärischen Verpflichtungen nachkommen können. Die Bundeswehr muss daher voll ausgestattet sein und weiter modernisiert werden. Auch für eine faire Lastenverteilung und den Zusammenhalt im Bündnis stehen wir zur Verpflichtung in EU und NATO, unsere Verteidigungsausgaben auf zwei Prozent des BIPs zu erhöhen."
2,"SPD","Sozialdemokratische Partei Deutschlands",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Zur Sicherung des Friedens und der Verteidigung leistet die Bundeswehr einen verantwortungsvollen Beitrag. Dafür verdienen die Soldatinnen und Soldaten die bestmögliche Ausrüstung und den höchsten Grad an Ausbildung. Nach vielen Jahren immer neuer Sparrunden, hat die SPD daher notwendige Investitionen in die Bundeswehr erhöht. Dabei bleiben wir dem Prinzip verpflichtet: Ausrüstung statt Aufrüstung."
3,"AfD","Alternative für Deutschland",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Die Bundeswehr befindet sich in einem desolaten Zustand. Es fehlt an Personal und funktionsfähiger Ausrüstung. Die deutschen Streitkräfte sind so zu reformieren, dass ihre Einsatzbereitschaft im Rahmen der Landes- und Bündnisverteidigung gewährleistet ist. Neuen hybriden Bedrohungen und Cyberattacken muss angemessen begegnet werden. Die AfD steht zu den Zusagen gegenüber der NATO. Um ihren Auftrag wieder erfüllen zu können, ist die Bundeswehr auf eine verlässliche Finanzierung angewiesen."
4,"FDP","Freie Demokratische Partei",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Wir Freie Demokraten wollen, dass Deutschland stärker als bisher den vernetzen Ansatz in seinem internationalen Handeln umsetzt. Hierfür wollen wir die finanziellen Voraussetzungen schaffen. Deutschland soll im Sinne eines vernetzten Ansatzes drei Prozent seines Bruttoinlandsprodukts in internationale Sicherheit (3D - defence, development and diplomacy) investieren, so seine in der NATO eingegangenen Verpflichtungen erfüllen, seine Entwicklungspolitik verstetigen und seine Diplomatie stärken."
5,"DIE LINKE","DIE LINKE",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Der Militärhaushalt der Bundesregierung ist in den letzten Jahren massiv gestiegen und beträgt derzeit 47 Milliarden Euro, dies entspricht mehr als 500 Euro aus Steuergeldern je Bürger*in. Die Steuermilliarden fehlen beim Ausbau des Gesundheitssystems, der sozialen Infrastruktur, Bildung und Klimaschutz. Wir rufen dazu auf, im kommenden Jahr in allen Staaten weltweit die Militärausgaben um 10 Prozent zu senken. "
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Anstelle der Erhöhung der Verteidigungsausgaben auf ein willkürliches Zwei-Prozent-Ziel der NATO muss es darum gehen, die Bundeswehr für ihren Auftrag bestmöglich auszustatten. Die vergangenen Jahre haben gezeigt, dass mehr Geld die Probleme der Bundeswehr nicht löst. Für eine verantwortungsvolle Sicherheitspolitik bedarf es einer Festlegung, was prioritär gebraucht wird, sowie einer ehrlichen Diskussion, was die Bundeswehr im Rahmen der Landes- und Bündnisverteidigung leisten kann und soll."
7,"FREIE WÄHLER","FREIE WÄHLER",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Wir wollen, dass den Soldaten das Material zur Verfügung steht, dass sie für ihren Dienst benötigen. Dabei muss man auf die Bedürfnisse der Soldaten eingehen. Dasselbe gilt für die Reservisten bei der Ausbildung, aber auch bei der Zusammenarbeit zwischen Truppe und Reservistenkameradschaften. Eine moderne und einsatzfähige Ausrüstung ist die Grundvoraussetzung für einen attraktiven Dienst."
8,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Zur Stärkung der ,,Resilienz"" (Annegret Scheiß-Doppelname) stecken wir das Geld statt in CO2-pupsenden Elektroschrott lieber in die Köpfe der Menschen. Wir fordern, das dämliche 2-%-Ziel aufzugeben und das Geld statt Rheinmetall & ThyssenKrupp lieber der Bildung zu widmen: 53.000.000.000,00. Euro. Jedes Jahr. Damit können wir Schulklassen & Seminare halbieren, Lehrer & Professorinnen verdoppeln, Luftfilter ein- und VHS-Rekorder & Overheadprojektoren ausbauen. Und die Toiletten einmal durchputzen."
9,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Nicht erst seit der Corona-Krise kämpft der deutsche Staat mit Überschuldung und für viele wichtige Aufgaben fehlen die Gelder. Erneuerbare Energien und guter ÖPNV, bedingungsloses Grundeinkommen und bessere Bildung sollten und könnten schon längst Wirklichkeit sein! Aufrüstung gehört, insbesondere in Friedenszeiten, dagegen eindeutig nicht zu diesen wichtigen Aufgaben. Militärische Interventionen in Krisengebieten haben dort leider noch nie zu Frieden und Stabilität beigetragen."
10,"NPD","Nationaldemokratische Partei Deutschlands",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Die Bundeswehr ist in einem bemitleidenswerten Zustand, was den Stand ihrer Ausrüstung und ihre tatsächliche Einsatzbereitschaft anbelangt. Hier muss also dringend etwas geschehen, wobei dies nicht über die Europäische Union oder über ominöse Beraterverträge laufen sollte. Problematisch ist, wenn die Verteidigungsausgaben nur erhöht werden sollen, um den Forderungen der USA im Rahmen der NATO nachzukommen. Eigene Verteidigungsfähigkeit, außerhalb der NATO und ohne fremde Truppen in Deutschland! "
11,"PIRATEN","Piratenpartei Deutschland",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Wir setzen uns für eine gemeinsame demokratisch legitimierte europäische Außen- und Sicherheitspolitik ein. Verteidigungspolitik soll durch gemeinsames Handeln mit Partnern und Verbündeten Stabilität schaffen und die Sicherheit in Europa stärken.Davon ausgehend sind Verteidigungsausgaben an den gemeinsamen Zielen Deutschlands und seiner Partner in Sicherheitsfragen, insbesondere der EU und NATO, auszurichten. Ein generelles ""mehr"" käme dem Thema daher unzureichend zu kurz."
12,"ÖDP","Ökologisch-Demokratische Partei",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Die ÖDP spricht sich gegen eine pauschale Erhöhung der Militärausgaben - vorgesehen sind 2% des BIP bis 2024 - aus. Das Geld fehlt dann entweder für andere wichtige Aufgaben wie Bildung, Pflege, Forschung, innere Sicherheit u.a. oder es muss durch neue Schuldenaufnahme bereitgestellt werden."
13,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Wir streben statt einer Erhöhung der Verteidigungsausgaben eine umfangreiche Abrüstung an. Kampfeinsätze und jegliche kriegerische Beteiligungen müssen beendet werden. Humanitäre Hilfe wird Deutschland weiter leisten, jedoch entkoppelt von militärischen Aktivitäten. Stattdessen setzen wir auf ein europäisches Sicherheitssystem.  Vorhandenes Material und Personal wird darin eingebracht."
14,"DiB","DEMOKRATIE IN BEWEGUNG",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Statt einer Erhöhung des Verteidigungsetats sollte dieser umsichtiger eingesetzt werden. Desaster wie die Beschaffung von nicht einsatzfähigem Gerät sind daher unbedingt zu vermeiden.Zudem sollte der Verteidigungshaushalt niemals die Höhe der Ausgaben für die Bildung übertreffen. "
15,"BP","Bayernpartei",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme zu","Deutschland sollte sich an seine vertraglichen Pflichten halten. Nur wenn man selbst seine Verpflichtungen einhält, kann man erwarten, dass dies auch andere tun."
16,"Tierschutzallianz","Allianz für Menschenrechte, Tier- und Naturschutz",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu",
17,"MLPD","Marxistisch-Leninistische Partei Deutschlands",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Deutsche Truppen mischen in Auslandseinsätzen in immer mehr Ländern mit, beschlossen von Bundesregierungen unter SPD und Grünen, CDU/CSU und FDP.Als Top-Waffenexporteur an Diktatoren aller Art oder mit eigenen Truppen auch in Völkerrechts widrigen Kriegseinsätzen von Afrika bis Afghanistan. Deutschland selbst rüstet massiv auf.Der Antimilitarist Karl Liebknecht erklärte schon zu Zeiten des I. Weltkriegs: Diesem System keinen Mann und keinen Groschen. Deutsche Truppen - raus aus dem Ausland!"
18,"Gesundheitsforschung","Partei für Gesundheitsforschung",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","neutral","Die Partei für Gesundheitsforschung ist eine Ein-Themen-Partei, die als einziges Ziel hat, die Entwicklung wirksamer Medizin gegen Alterskrankheiten wie Krebs und Alzheimer zu beschleunigen. Sie setzt sich dafür ein, dass mehr staatliche Forschungsinstitute gebaut und betrieben werden und die entsprechenden Fachbereiche an den Universitäten ausgebaut werden. Ihr Ziel will sie in Zusammenarbeit mit anderen Parteien erreichen. In alle anderen politischen Themen will sie sich nicht einmischen."
19,"MENSCHLICHE WELT","Menschliche Welt - für das Wohl und Glücklichsein aller",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Die MENSCHLICHE WELT setzt sich für eine Friedenspolitik der Verständigung und der Verhandlungen ein - anstatt des Wettrüstens und der militärischen Konfrontation.Das bedeutet auch die Einhaltung der UN-Charta und des Verbots des Angriffskrieges.Deutschland nimmt an völkerrechtswidrigen Kriegen teil. Die Auslandseinsätze der Bundeswehr halten wir für nicht Grundgesetz konform. "
20,"DKP","Deutsche Kommunistische Partei",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Bereits jetzt gibt die deutsche Bundesregierung Milliarden für Aufrüstungspläne und Auslandseinsätze aus. Das ist Geld, das in den Schulen oder beim Pflegepersonal eingespart wird und das uns fehlt. Die DKP wendet sich gegen die zunehmende Militarisierung und das Trommelfeuer gegen Russland und China."
21,"Die Grauen","Die Grauen – Für alle Generationen",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","neutral",
22,"BüSo","Bürgerrechtsbewegung Solidarität",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Die gesamte Verteidigungspolitik muss auf den Prüfstand, ebenso die offenbar völlig inkompetente Material- und Ausrüstungsbeschaffung. Deutschland wird weder am Hindukusch noch im Südchinesischen Meer verteidigt.  Die beste Verteidigung ist eine globale Wirtschafts- und Aufbauallianz , z.B. mit der Neuen Seidenstraße. Austritt aus der NATO und Nutzung der logistischen Kapazitäten der Bundeswehr für konkrete Infrastruktur- und Notprogramme in Ländern, die diese Unterstützung anfordern."
23,"Die Humanisten","Partei der Humanisten",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Wir fordern, dass die Bundeswehr zu einer modernen und flexiblen Berufsarmee umgebaut wird. Um die operative Einsatzfähigkeit zu jedem Zeitpunkt zu gewährleisten, muss stets eine hohe Qualität bei Ausbildung, Bewaffnung und Wartung gesichert werden. Die größte Herausforderung ist dabei die effiziente Nutzung des Budgets. Deshalb brauchen wir gut kalkulierte und verhandelte Beschaffungsprojekte sowie zeitgemäße Prioritäten bei der Beschaffung von neuer Ausstattung."
24,"du.","Die Urbane. Eine HipHop Partei",2,"Erhöhung der Verteidigungsausgaben","Deutschland soll seine Verteidigungsausgaben erhöhen.","stimme nicht zu","Im Gegenteil! Internationale Politik ist von Blockpolitik gekennzeichnet und von der Hierarchisierung von Ländern entlang militärischer und/oder wirtschaftlicher Macht. Drohkulissen werden  aufgebaut und Feindbilder kultiviert. Das dient der Rüstungsindustrie.Anstelle destruktiver Abschottungen und nationaler Konstrukte soll intensive globale Mediation, Kooperation, Austausch und Wissenstransfer treten! Durch Vernetzung rücken wir näher zusammen, über Grenzen und kulturelle Räume hinweg. "
