ID,Company,Industry,Topic,Audience,Type,UseCase,Title,Abstract,Experience,FirstName,LastName,FullName,JobTitle,Biography
11,Neo4j,General,Visualization,Developer,Workshop,"Apps & APIs, Aura, Best Practices, Cloud, Graph Visualization",Discovery and Insights with Graph Visualization Using Neo4j Bloom,"Deriving insights from data is a naturally inquisitive process grounded in exploration. Neo4j Bloom is graph dataa visualization software built for investigation, exploration, and collaboration without requiring any coding experience. Join Jeff and Sebastian as they show how Bloom’s easy-to-use, illustrative design and powerful graph analytics help you to paint a beautiful picture of what your data is telling you.",Basic,Jeff,Gagnon,Jeff Gagnon,Product Manager,"Jeff Gagnon joined Neo4j in 2021 as the Product Manager for Bloom and brings experience working in various data-driven roles, most recently in the cybersecurity domain. He has more than a decade of experience working with graphs, data visualization, and explaining technical topics to non-technical audiences. Jeff’s academic background includes software development and psychology."
12,Neo4j,General,Development,Developer,Workshop,"Apps & APIs, Cypher, Language-specific",Mastering Neo4j with Go and GoGM,"In this session, learn the different ways to interact with Neo4j from Go. We will go over usage of the official Go driver, including connecting to the database, running queries, and managing transactions. We'll then explain how using an Object Graph Mapper (aka OGM) like GoGM can simplify the process of interacting with Neo4j.",Basic,Florent,Biville,Florent Biville,Developer,"Florent is a developer at Neo4j by day, Hackergarten/hack-commit-push organizer by night."
13,Neo4j,General,GDS-Prod,Data Scientists,Full Length Session,Data Science,Scaling into Billions of Nodes and Relationships with Neo4j Graph Data Science,"Dive into the internals of Neo4j Graph Data Science and see how to achieve the scale you need. You'll learn the implementation choices available for Neo4j Graph Data Science that enable customers to run graph algorithms on large-scale graphs containing billions of nodes and relationships. Additionally, we'll take a look at our compressed graph representations and a selected set of algorithms implementations that make it possible. The talk will also contain a demo, which will show how GDS allows customers to import large-scale data and get algorithm results within minutes.",Basic,Martin,Junghanns,Martin Junghanns,Senior Software Engineer,"Martin is a Senior Software Engineer at Neo4j working on Graph Data Science. He has over 10 years of experience in implementing scale out and scale up graph software, both in research and industry. He cares deeply about performance, minimal code complexity, and a good user experience."
14,Neo4j,General,GraphQL,Developer,Lightning Talk,"Apps & APIs, Aura, Cloud, Cypher, Full Stack, GraphQL, Language-specific",Making the Connection Between GraphQL and Your Neo4j Graph Database ,"With Neo4j as the graph database, the GraphQL Library makes it simple for applications to have application data treated as a graph natively from the front-end all the way to storage, avoiding duplicate schema work and ensuring flawless integration between front-end and backend developers. In this session we'll walk through how to use GraphQL with your existing Neo4j database.",Basic,Darrell,Warde,Darrell Warde,Engineering,
15,Neo4j,General,GDS-Prod,Data Scientists,Full Length Session,Data Science,Connecting Neo4j Graph Data Science into Your Data Ecosystem and Workflows  ,"One of the most important aspects of a data science tool is how easy it is to integrate with other tools. For Neo4j Graph Data Science, ecosystem integrations is a core product principle, and we always strive to ""meet data scientists where they are."" Join us to learn about our data science connectors, integrations, and partnerships, including best practices and reference architecture. Start powering your insights with graph data science today!",Basic,Zach,Blumenfeld,Zach Blumenfeld,Data Science Product Specialist,"Zach Blumenfeld is a graph enthusiast who helps data scientists, engineers, and business leaders understand and implement graph analytics to solve challenging business problems. He has firsthand experience with a wide range of modern day analytical challenges, including criminal fraud detection, identity resolution, and recommendation systems. Serving in both data science and software developer capacities, Zach has applied graph computing for law enforcement and government entities in support of missions that counter drug trafficking, human smuggling, money laundering, and child exploitation. He has led the development and deployment of full-stack graph systems designed to facilitate broad search and analytical query requirements."
16,Neo4j,General,CoreDB-Prod,Developer,Full Length Session,"Apps & APIs, Aura, Best Practices, Cloud, Cypher, Full Stack, Language-specific",Bootstrapping Your Graph Project with Neo4j Data Importer and Browser,"In this talk, we take a look at how you can use Neo4j’s developer tools – Data Importer and Browser – to get you up and running quickly on your next project.",Basic,Anurag,Tandon,Anurag Tandon,"Senior Director, Product Management",
17,Neo4j,General,AuraDS,Data Scientists,Full Length Session,"Aura, Data Science",New! Neo4j AuraDS: The Fastest Way to Get Started with Data Science in the Cloud,"Want to run graph analytics and machine learning with zero administrative overhead? Neo4j AuraDS is a fully managed SaaS offering, providing the easiest way for data scientists to get started in the cloud.",Basic,Luke,Gannon,Luke Gannon,Product Manager,"Luke Gannon has been with Neo4j for over six years. He started his Neo4j career as a field engineer, helping enterprises to be successful with graphs. For the last three years, Luke has worked on launching the graph cloud platform – Neo4j Aura. Luke now focuses on AuraDS (Graph Data Science as a Service) at Neo4j."
18,Neo4j,General,Development,Developer,Workshop,"Apps & APIs, Aura, Full Stack, GraphQL, Language-specific","Hands-On with SwiftUI, GraphQL, and Neo4j AuraDB","Given the importance of supply chains and the global maritime trade, you would think that modern technologies make it easy for a ship owner to create a route for a crude oil tanker or cargo vessel. Wrong! Most routing services produce a default route that is the shortest distance between two ports. But the shortest distance might not be the safest (can you say pirates? storms?), or the most efficient in terms of GHG emissions. Furthermore, most routing services use unstable infrastructure, struggle with big data feeds, and offer limited visualization options. For these reasons, OrbitMI decided to build its own routing service solution. To build this world-class, enterprise-grade service, we needed a graph that could process large volumes of data, provide reliable storage, serve and support spatial – in addition to linear and tabular datasets – delivered in real time (and at scale), as well as a library of pathfinding algorithms. Our goal was to develop a routing service to give ship owners and managers (really anyone in the industry), the ability to create and select the smartest route for their vessels. Routes can be optimized for distance, safety, speed, GHG emissions, weather, or revenue, among others.",Basic to Intermediate,William,Lyon,William Lyon,Developer Advocate,William Lyon is a Developer Advocate at Neo4j where he helps developers be successful with graphs. William holds a master's degree in Computer Science from the University of Montana and is the author of the book Full Stack GraphQL. You can find him online at lyonwj.com.
19,Neo4j,General,Cloud,Developer,Full Length Session,"Aura, Cloud",Getting Started with Neo4j on AWS,"There are over 200 different AMIs available in AWS from sources such as Community AMIs and AWS Marketplace that purport to provide a Neo4j graph database. In addition to Neo4j Enterprise and Neo4j Community editions, there are container images and Helm charts, as well as AuraDB Enterprise, Neo4j's fully managed graph database platform. Add the 100+ AWS services that you might want to integrate with Neo4j , the almost infinite AWS configuration options for storage, networking, instance selection, and security, and a developer easily becomes overloaded with choice. In this session, we'll look at the different ways to get started with Neo4j in AWS so you can get the best setup to meet your personal, business, and budgetary needs. We will also look at getting data into Neo4j on AWS so you quickly get productive with your graph model.",Basic,Mark,Baker,Mark Baker,Product Manager,"Mark Baker works on the open source graph database, Neo4j, helping to create the Aura SaaS platform. Previously a Product Manager at AWS, he held roles in the EC2 Enterprise Team and was responsible for Open Source in AWS Marketplace. With over 25 years of experience in software, Mark has had spells at Oracle, Red Hat, MySQL, and Canonical, as well as being an OpenStack board member back in the ""fun days"" and leading several user groups and meetups. Mark is based in Ipswich, UK where he lives with his wife, two teenage daughters, 10-year-old son, dog, cat, and an old motorcycle. When not working or acting as a teenager taxi service, Mark likes to walk along the Suffolk coast exploring different routes and pubs along the way."
20,Neo4j,General,GDS-Algo,Data Scientists,Full Length Session,Data Science,Interpreting the Results of Community Detection Algorithms,"Congratulations, your Graph Data Science Community Detection Algorithm has completed successfully! Now, how should you interpret the results and explain them to your colleagues? In this session, you'll learn how statistics such as modularity, conductance, and clustering coefficient can help you decide if your communities are cohesive enough to be meaningful. They can also help you choose the most meaningful result from the output of multiple differently configured Community Detection Algorithm runs. We will also look at ways to describe the communities that emerge from Community Detection Algorithms, which includes looking at the distributions of property values and finding the nodes that are most central within each community.",Intermediate,Nathan,Smith,Nathan Smith,Senior Data Scientist,"Nathan Smith is a Senior Data Scientist in Neo4j Professional Services. Before joining Neo4j in 2021, he had applied graph data science in his work at Lovevery and PRA Health Sciences. He is an organizer of the Kansas City Graph Databases Meetup and a regular contributor to the Neo4j Developer Blog and Towards Data Science."
21,Neo4j,General,Knowledge Graph,Developer,Workshop,Knowledge Graphs,3 Ways You Can Use Ontologies in Neo4j,"This workshop is a hands-on lab with an ambitious goal: show three practical examples of using ontologies in Neo4j, step by step, in a way that attendees can follow and understand or even join and code along (on their local Neo4j or in a Sandbox). The three examples are as follows. Data import: Use an ontology as the target model for the graph that your ETL pipeline will build in Neo4j. Model validation: Use an ontology to define constraints on the shape of your graph and create a data quality dashboard reporting on the violations of those constraints in your Neo4j graph. Semantic search: Use the ontology to semantically annotate a dataset and implement semantic search and semantic similarity using Cypher over your data and the ontology. For this workshop, we will use public ontologies in different domains (FIBO, Schema.org, ESCO...) and open datasets that will be shared day of with attendees.",Intermediate,Jesús,Barrasa,Jesús Barrasa,Senior Director Sales Engineering EMEA,"Dr. Jesús Barrasa leads the Sales Engineering team in EMEA and is Neo4j's resident expert in semantic technologies. He co-wrote Knowledge Graphs: Data in Context for Responsive Businesses (O'Reilly Report) and leads the development of Neosemantics (Neo4j plugin for RDF). Prior to joining Neo4j, Jesús worked for data integration companies like Denodo and Ontology Systems (now EXFO), where he got firsthand experience with many successful large graph technology projects for major companies all over the world. Jesús holds a PhD in Computing Science from the Politécnica University of Madrid, where he carried out his research on graph data modeling and semantic technologies."
23,Arcurve,Professional Services,VR,Developer,Full Length Session,"Aura, Cypher, Data Science, Graph Visualization",Modeling Physical Systems in the Metaverse Easily with Graphs,"In this presentation, we will demonstrate how graph database technology and 3D modeling software can be utilized to address a wide variety of business questions and challenges. We take a basic example of modeling a physical system (engineering design model for building ventilation) using Neo4j and Graph Data Science to project a visualization of the physical model into a AR/VR-style environment and help users track and predict contaminate transport. This approach is designed to be versatile and can be applied across contexts.",Basic to Intermediate,Mike,Morley,Mike Morley,Director AI/ML technology,"Mike Morley is the Director of Artificial Intelligence and Machine Learning at Arcurve. His passion for technology started early – he talked his mother into buying him an Apple IIe computer at the age of 13 and obtained his first contract writing a spreadsheet at age 14. He founded his first startup while he was still in high school. Following getting an engineering degree from the University of Waterloo, Mike’s focus has been creating high-functioning innovation teams focused on augmenting people’s capabilities to develop and deliver leading-edge technology solutions. Mike’s career has led him to start several successful companies and explore diverse industries and domains including mining, advertising, energy, environmental, education, legal, geotechnical, and architectural. Throughout it all, his goal continues to be empowering people through collaboration to bring their vision to life by appying technology. Mike is a sought-after speaker about AI/ML technology and platforms, the ethics of technology and augmenting organizational design through technology. He’s active in the startup community in Calgary and beyond and provides mentorship to software professionals and acts in an advisory capacity to companies on the subject of technology. When he’s not working with graphs, Mike is in the mountains on his bike!"
24,Neo4j,Manufacturing,CoreDB-UC,General,Full Length Session,,Real-World Graphs in Manufacturing and Automative,"Software-defined vehicles are a subset of Digital Twins that are used by many auto OEMs, Tier-1 Suppliers, and other manufacturers to help deal with supply chain disruption, product management, warranty issues, customer-360, and validation / testing. We will explore several real-world use cases that take advantage of Neo4j's ability to join many disparate types of data to add the context needed for decision makers.",Basic,Mark,Quinsland,Mark Quinsland,Senior Field Engineer,"Mark Quinsland is a Senior Field Engineer for Neo4j and is based in the Bay Area. In a prior life, he worked with the U.S., Asian, and European auto OEMs to develop global standards for the data used to develop and test vehicles. He has continued working behind the scenes with several OEMs and Neo4j partners to apply Neo4j to manufacturing use cases."
26,Neo4j,General,Graph Tech,Developer,Full Length Session,"Apps & APIs, Cypher, Graph Visualization",NeoDash - Building Neo4j Dashboards In Minutes,,Basic to Intermediate,Niels,de Jong,Niels de Jong,Consulting Engineer,
28,Neo4j,General,Graph Tech,Developer,Workshop,"Apps & APIs, Cloud, Cypher, Graph Visualization",Hands-On Graph Drawing and Modeling with Arrows.app,"Learn how to draw graphs using the arrows.app tool from Neo4j Labs. In this hands-on session, you'll learn the quickest way to create a simple graph in your web browser and then use this graph to develop a data model for your graph application. We'll run through a series of interactive exercises that will teach you how to draw simple graphs, import text, import from a spreadsheet style and format, share graphs, export images, develop a data model, use powerful editing features, refactor graphs, import into a Neo4j graph database, and run algorithms on imported data.",Basic,Alistair,Jones,Alistair Jones,Director of Engineering,"Alistair Jones has worked at Neo4j for more than 10 years as an engineer developing many of the technologies that now form the core of the Neo4j Graph Data Platform. He's also an engineering leader and architect, developing the great teams that make Neo4j."
29,Quantitative Scientific Solutions,General,GDS-UC,Data Scientists,Full Length Session,"Data Science, Graph Visualization, Language-specific",Communicating Complex Results to Customers Using Graph Data Science… When You Don't Have a Front-End Developer on Your Team,"In technical consulting, we help clients by building them cutting-edge tools to solve seemingly intractable problems. However, setting up infrastructure and building models is only part of the solution when it comes to providing value to customers. Visualization is the last-mile element that can make a client happy or leave them dissatisfied. In this talk, we will cover how we used Neo4j, Graph Data Science, advanced natural language processing, and the new Neodash visualization tool to track flows of scientific knowledge over time for our client, the U.S. National Science Foundation. We’ll discuss how we used language embeddings and automated clustering optimization to model the language of scientific articles (the “content”) and their positions within a citation network (the “context”) to model the evolution of ideas over time, at a scale that would be impossible with other tools. We will also cover how our collaboration with Neo4j, and specifically with the developer of the Neodash tool, enabled us to add the final ingredient of a successful project for this client: a front-end that allowed us to tell them an interesting and useful story while also providing them with a tool to realize the utility for their own work.",Advanced,Dave,Rench McCauley,Dave Rench McCauley,Lead Data Scientist,"Dave is a Lead Data Scientist at Quantitative Scientific Solutions (QS-2), where he applies his expertise in a wide array of topics for the benefit of clients, including predictive modeling, network science, deep learning, text analytics, open data and open source strategy, renewable energy, and materials physics. Through Dave's experience in the private and public sectors, he has worked with clients as diverse as national laboratories, research universities, federal civilian agencies, electric power utilities, the U.S. military, and tech startups. Before joining QS-2, Dave worked in the tech startup space, using high-velocity and high-volume data to build data science solutions for the U.S. Air Force. Prior to that, he managed a wide variety of projects for the U.S. Department of Energy's Solar Energy Technologies Office. Dave received his PhD in Physics from Penn State University and holds a Bachelor’s of Science in Physics from Miami University."
32,Neo4j,General,Cloud,Developer,Lightning Talk,Aura,Introduction to Neo4j AuraDB: Your Fastest Path to Graph,"Join us for a lightning talk on Neo4j AuraDB, the graph database as a service. We'll cover all the self-serve AuraDB capabilities. AuraDB Free is a forever free tier designed to accelerate your journey from learning to production, without the hassle of managing the database. We'll cover sample datasets, loading your own data, resetting the database, and cloning or pausing your instance. You'll learn about support resources including the Neo4j Community, free training, and more.",Basic to Advanced,Luke,Gannon,Luke Gannon,"Product Manager, AuraDS",
33,Northrop Grumman,Aerospace and Defense,Knowledge Graph,Data Scientists,Full Length Session,"Best Practices, Data Science, Knowledge Graphs, Operations",Accelerating ML Ops with Graphs and Ontology-Driven Design,"Data fusion is a prerequisite to high-leverage analytics, but multi-source integration into data lakes becomes incomprehensible at scale. Data lakes collocate data but do not create synergy because they lack structure and context. When the time comes to engineer features, data lakes do not provide a means to maintain digital threads. The burden of preserving context falls to users, who pass tribal knowledge from one to the next through word of mouth or documentation. This process creates bottlenecks in data processing and analytics, resulting in loss of clarity over time. To overcome these challenges, Ontology-Driven Design operates on the premise that data integration should be governed by knowledge. In this paradigm, domain knowledge is modeled ontologically, which kills two birds with one stone. Firstly, the domain knowledge serves as an integration layer for disparate data. Secondly, the combination of data and ontology results in a context-rich graph that preserves domain knowledge in a digital thread. In this talk, we demonstrate how Northrop Grumman uses Neo4j graph databases to realize ODD pipelines that generate knowledge graphs can then be supercharged through analytical methods to turn data and domain knowledge into customer value.",Intermediate to Advanced,Brandon,Campbell,Brandon Campbell,SDS Digital Innovation Software Engineering Manager,"Brandon Campbell is a passionate technologist, ontologist, graphstronaut, software engineer, and hopeless romantic with over 10 years of industry experience developing software and the battle scars to prove it. As cofounder and co-lead of Northrop Grumman's Strategic Deterrent Systems Digital Innovation Team, Brandon believes that even the hardest problems become simpler when they are turned on their side, and that there is no better way to do that than by graphing them."
34,Neo4j,General,GraphQL,Developer,Full Length Session,"Apps & APIs, Full Stack, GraphQL, Language-specific",Real-Time Data Updates for Neo4j Using GraphQL Subscriptions,"Join Darrell and Andrés from the GraphQL Team at Neo4j as they talk about one of the newest features of the Neo4j GraphQL Library: GraphQL Subscriptions. Using this new feature, GraphQL API consumers can listen to data changes in real time, which happen in Neo4j via the GraphQL Library. Following a high-level overview of the Neo4j GraphQL Library, they will demonstrate the new Subscriptions feature. You can also expect a deep dive of how it works under the hood.",Advanced,Andrés,Corrales,Andrés Corrales,Engineering,
35,Neo4j,General,CoreDB-Prod,Developer,Lightning Talk,"Aura, Cypher",Fun with Fabric in 15,"New to Fabric? Join Eric Monk for a quick introduction on how to get started with Fabric. The session will briefly breakdown important Fabric concepts and then show you the steps of how to configure the Fabric database, setup users, and perform a Cypher query that queries an Aura database and a local database using Fabric.",Basic,Eric,Monk,Eric Monk,Principal Solutions Engineer,"Eric Monk is a Neo4j Principal Solutions Engineer and has been using Neo4j for eight years, building design tools and helping customers implement Neo4j within their enterprise. Eric has a rich background in many aspects of data, including enterprise data integration, data wrangling, data analysis, and data visualization. Eric is based in the greater Washington, DC metro area."
