year,category,overallMotivation,id,firstname,surname,motivation,share
2007,physics,,814,Albert,Fert,"""for the discovery of Giant Magnetoresistance""",2
2007,physics,,815,Peter,Grünberg,"""for the discovery of Giant Magnetoresistance""",2
2007,medicine,,811,"Mario R.",Capecchi,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3
2007,medicine,,812,"Sir Martin J.",Evans,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3
2007,medicine,,813,Oliver,Smithies,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3
2006,chemistry,,806,"Roger D.",Kornberg,"""for his studies of the molecular basis of eukaryotic transcription""",1
2006,economics,,807,"Edmund S.",Phelps,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1
2006,literature,,808,Orhan,Pamuk,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",1
2006,peace,,809,Muhammad,Yunus,"""for their efforts to create economic and social development from below""",2
2006,peace,,810,"Grameen Bank",,"""for their efforts to create economic and social development from below""",2
2006,physics,,804,"John C.",Mather,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2
2006,physics,,805,"George F.",Smoot,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2
2006,medicine,,802,"Andrew Z.",Fire,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2
2006,medicine,,803,"Craig C.",Mello,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2
2005,chemistry,,794,Yves,Chauvin,"""for the development of the metathesis method in organic synthesis""",3
2005,chemistry,,795,"Robert H.",Grubbs,"""for the development of the metathesis method in organic synthesis""",3
2005,chemistry,,796,"Richard R.",Schrock,"""for the development of the metathesis method in organic synthesis""",3
2005,economics,,799,"Robert J.",Aumann,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2
2005,economics,,800,"Thomas C.",Schelling,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2
2005,literature,,801,Harold,Pinter,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",1
2005,peace,,797,"International Atomic Energy Agency",,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2
2005,peace,,798,Mohamed,ElBaradei,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2
2005,physics,,791,"Roy J.",Glauber,"""for his contribution to the quantum theory of optical coherence""",2
2005,physics,,792,"John L.",Hall,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",4
2005,physics,,793,"Theodor W.",Hänsch,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",4
2005,medicine,,789,"Barry J.",Marshall,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2
2005,medicine,,790,"J. Robin",Warren,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2
2004,chemistry,,779,Aaron,Ciechanover,"""for the discovery of ubiquitin-mediated protein degradation""",3
2004,chemistry,,780,Avram,Hershko,"""for the discovery of ubiquitin-mediated protein degradation""",3
2004,chemistry,,781,Irwin,Rose,"""for the discovery of ubiquitin-mediated protein degradation""",3
2004,economics,,786,"Finn E.",Kydland,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2
2004,economics,,787,"Edward C.",Prescott,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2
2004,literature,,782,Elfriede,Jelinek,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",1
2004,peace,,783,Wangari,Maathai,"""for her contribution to sustainable development democracy and peace""",1
2004,physics,,776,"David J.",Gross,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3
2004,physics,,777,"H. David",Politzer,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3
2004,physics,,778,Frank,Wilczek,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3
2004,medicine,,774,Richard,Axel,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2
2004,medicine,,775,"Linda B.",Buck,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2
2003,chemistry,"""for discoveries concerning channels in cell membranes""",769,Peter,Agre,"""for the discovery of water channels""",2
2003,chemistry,"""for discoveries concerning channels in cell membranes""",770,Roderick,MacKinnon,"""for structural and mechanistic studies of ion channels""",2
2003,economics,,771,"Robert F.","Engle III","""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2
2003,economics,,772,"Clive W.J.",Granger,"""for methods of analyzing economic time series with common trends (cointegration)""",2
2003,literature,,763,"J. M.",Coetzee,"""who in innumerable guises portrays the surprising involvement of the outsider""",1
2003,peace,,773,Shirin,Ebadi,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",1
2003,physics,,766,Alexei,Abrikosov,"""for pioneering contributions to the theory of superconductors and superfluids""",3
2003,physics,,767,"Vitaly L.",Ginzburg,"""for pioneering contributions to the theory of superconductors and superfluids""",3
2003,physics,,768,"Anthony J.",Leggett,"""for pioneering contributions to the theory of superconductors and superfluids""",3
2003,medicine,,764,"Paul C.",Lauterbur,"""for their discoveries concerning magnetic resonance imaging""",2
2003,medicine,,765,"Sir Peter",Mansfield,"""for their discoveries concerning magnetic resonance imaging""",2
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",756,"John B.",Fenn,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",757,Koichi,Tanaka,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",758,Kurt,Wüthrich,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2
2002,economics,,759,Daniel,Kahneman,"""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty""",2
2002,economics,,760,"Vernon L.",Smith,"""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms""",2
2002,literature,,761,Imre,Kertész,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",1
2002,peace,,762,Jimmy,Carter,"""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development""",1
2002,physics,,753,Raymond,"Davis Jr.","""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",4
2002,physics,,754,Masatoshi,Koshiba,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",4
2002,physics,,755,Riccardo,Giacconi,"""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources""",2
2002,medicine,,750,Sydney,Brenner,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3
2002,medicine,,751,"H. Robert",Horvitz,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3
2002,medicine,,752,"John E.",Sulston,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3
2001,chemistry,,741,William,Knowles,"""for their work on chirally catalysed hydrogenation reactions""",4
2001,chemistry,,742,Ryoji,Noyori,"""for their work on chirally catalysed hydrogenation reactions""",4
