awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1905,Chemistry,The Nobel Prize in Chemistry,1,1,138089,7615202,,received,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1905,164,Adolf von Baeyer,Adolf von Baeyer,Adolf,von Baeyer,Johann Friedrich Wilhelm Adolf von Baeyer,,male,http://masterdataapi.nobelprize.org/2/laureate/164,1835-10-31,Berlin,Berlin,Europe,Prussia,Germany,"Berlin, Prussia (now Germany)",1917-08-20,Starnberg,Starnberg,Europe,Germany,Germany,"Starnberg, Germany",,,,,,,,,,,Individual,,,"Munich University, Munich, Germany",,,
1928,Chemistry,The Nobel Prize in Chemistry,1,1,156939,4458494,,received,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1928,185,Adolf Windaus,Adolf Windaus,Adolf,Windaus,Adolf Otto Reinhold Windaus,,male,http://masterdataapi.nobelprize.org/2/laureate/185,1876-12-25,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",1959-06-09,Göttingen,Göttingen,Europe,West Germany,Germany,"Göttingen, West Germany (now Germany)",,,,,,,,,,,Individual,,,"Goettingen University, Göttingen, Germany",,,
1980,Peace,The Nobel Peace Prize,1,1,880000,2889667,1980-10-27,received,"for being a source of inspiration to repressed people, especially in Latin America",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1980,541,Adolfo Pérez Esquivel,Adolfo Pérez Esquivel,Adolfo,Pérez Esquivel,Adolfo Pérez Esquivel,,male,http://masterdataapi.nobelprize.org/2/laureate/541,1931-11-26,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,Individual,Argentina,,,,,
1999,Chemistry,The Nobel Prize in Chemistry,1,1,7900000,10049186,1999-10-12,received,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1999,292,Ahmed Zewail,Ahmed Zewail,Ahmed,Zewail,Ahmed H. Zewail,,male,http://masterdataapi.nobelprize.org/2/laureate/292,1946-02-26,Damanhur,Damanhur,Africa,Egypt,Egypt,"Damanhur, Egypt",2016-08-02,"Pasadena, CA","Pasadena, CA",North America,USA,USA,"Pasadena, CA, USA",,,,,,,,,,,Individual,,,"California Institute of Technology (Caltech), Pasadena, CA, USA",,,
2010,Chemistry,The Nobel Prize in Chemistry,3,1/3,10000000,10819388,2010-10-06,received,for palladium-catalyzed cross couplings in organic synthesis,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2010,853,Akira Suzuki,Akira Suzuki,Akira,Suzuki,Akira Suzuki,,male,http://masterdataapi.nobelprize.org/2/laureate/853,1930-09-12,Mukawa,Mukawa,Asia,Japan,Japan,"Mukawa, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Hokkaido University, Sapporo, Japan",,,
2019,Chemistry,The Nobel Prize in Chemistry,3,1/3,9000000,9000000,2019-10-09,received,for the development of lithium-ion batteries,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2019,978,Akira Yoshino,Akira Yoshino,Akira,Yoshino,Akira Yoshino,,male,http://masterdataapi.nobelprize.org/2/laureate/978,1948-01-30,Suita,Suita,Asia,Japan,Japan,"Suita, Japan",,,,,,,,,,,,,,,,,,Individual,,,"Asahi Kasei Corporation, Tokyo, Japan","Meijo University, Nagoya, Japan",,
2007,Peace,The Nobel Peace Prize,2,1/2,10000000,11301989,2007-10-12,received,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2007,819,Al Gore,Al Gore,Al,Gore,Albert Arnold (Al) Gore Jr.,,male,http://masterdataapi.nobelprize.org/2/laureate/819,1948-03-31,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,,,,,,,,Individual,USA,,,,,
2000,Chemistry,The Nobel Prize in Chemistry,1,1/3,9000000,11333109,2000-10-10,received,for the discovery and development of conductive polymers,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,729,Alan Heeger,Alan Heeger,Alan,Heeger,Alan J. Heeger,,male,http://masterdataapi.nobelprize.org/2/laureate/729,1936-01-22,"Sioux City, IA","Sioux City, IA",North America,USA,USA,"Sioux City, IA, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of California, Santa Barbara, CA, USA",,,
1963,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/3,265000,2839286,,received,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1963,376,Alan Hodgkin,Alan Hodgkin,Alan,Hodgkin,Alan Lloyd Hodgkin,,male,http://masterdataapi.nobelprize.org/2/laureate/376,1914-02-05,Banbury,Banbury,Europe,United Kingdom,United Kingdom,"Banbury, United Kingdom",1998-12-20,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"University of Cambridge, Cambridge, United Kingdom",,,
2000,Chemistry,The Nobel Prize in Chemistry,2,1/3,9000000,11333109,2000-10-10,received,for the discovery and development of conductive polymers,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2000,730,Alan MacDiarmid,Alan MacDiarmid,Alan,MacDiarmid,Alan G. MacDiarmid,,male,http://masterdataapi.nobelprize.org/2/laureate/730,1927-04-14,Masterton,Masterton,Oceania,New Zealand,New Zealand,"Masterton, New Zealand",2007-02-07,"Drexel Hill, PA","Drexel Hill, PA",North America,USA,USA,"Drexel Hill, PA, USA",,,,,,,,,,,Individual,,,"University of Pennsylvania, Philadelphia, PA, USA",,,
1907,Physics,The Nobel Prize in Physics,1,1,138796,7033581,,received,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1907,11,Albert A. Michelson,Albert A. Michelson,Albert A.,Michelson,Albert Abraham Michelson,,male,http://masterdataapi.nobelprize.org/2/laureate/11,1852-12-19,Strelno,Strzelno,Europe,Prussia,Poland,"Strelno, Prussia (now Strzelno, Poland)",1931-05-09,"Pasadena, CA","Pasadena, CA",North America,USA,USA,"Pasadena, CA, USA",,,,,,,,,,,Individual,,,"University of Chicago, Chicago, IL, USA",,,
1957,Literature,The Nobel Prize in  Literature,1,1,208629,2697789,,received,"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1957,628,Albert Camus,Albert Camus,Albert,Camus,Albert Camus,,male,http://masterdataapi.nobelprize.org/2/laureate/628,1913-11-07,Mondovi,Mondovi,Africa,French Algeria,Algeria,"Mondovi, French Algeria (now Algeria)",1960-01-04,Sens,Sens,Europe,France,France,"Sens, France",,,,,,,,,,,Individual,France,,,,,
1974,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/3,550000,3263449,,received,for their discoveries concerning the structural and functional organization of the cell,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1974,403,Albert Claude,Albert Claude,Albert,Claude,Albert Claude,,male,http://masterdataapi.nobelprize.org/2/laureate/403,1898-08-24,Longlier,Longlier,Europe,Belgium,Belgium,"Longlier, Belgium",1983-05-22,Brussels,Brussels,Europe,Belgium,Belgium,"Brussels, Belgium",,,,,,,,,,,Individual,,,"Université Catholique de Louvain, Louvain, Belgium",,,
1921,Physics,The Nobel Prize in Physics,1,1,121573,2532771,,received,"for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1921,26,Albert Einstein,Albert Einstein,Albert,Einstein,Albert Einstein,,male,http://masterdataapi.nobelprize.org/2/laureate/26,1879-03-14,Ulm,Ulm,Europe,Germany,Germany,"Ulm, Germany",1955-04-18,"Princeton, NJ","Princeton, NJ",North America,USA,USA,"Princeton, NJ, USA",,,,,,,,,,,Individual,,,"Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik, Berlin, Germany",,,
2007,Physics,The Nobel Prize in Physics,1,1/2,10000000,11301989,2007-10-09,received,for the discovery of Giant Magnetoresistance,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2007,814,Albert Fert,Albert Fert,Albert,Fert,Albert Fert,,male,http://masterdataapi.nobelprize.org/2/laureate/814,1938-03-07,Carcassonne,Carcassonne,Europe,France,France,"Carcassonne, France",,,,,,,,,,,,,,,,,,Individual,,,"Universit&eacute; Paris-Sud, Orsay, France","Unit&eacute; Mixte de Physique CNRS/THALES, Orsay, France",,
1902,Peace,The Nobel Peace Prize,2,1/2,141847,8059489,1902-12-10,received,for his eminently practical administration of the Inter-Parliamentary Union,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1902,465,Albert Gobat,Albert Gobat,Albert,Gobat,Charles Albert Gobat,,male,http://masterdataapi.nobelprize.org/2/laureate/465,1843-05-21,Tramelan,Tramelan,Europe,Switzerland,Switzerland,"Tramelan, Switzerland",1914-03-16,Bern,Bern,Europe,Switzerland,Switzerland,"Bern, Switzerland",,,,,,,,,,,Individual,Switzerland,,,,,
1960,Peace,The Nobel Peace Prize,1,1,225987,2664941,1961-10-23,received,for his non-violent struggle against apartheid,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1960,519,Albert Luthuli,Albert Luthuli,Albert,Luthuli,Albert John Luthuli,,male,http://masterdataapi.nobelprize.org/2/laureate/519,1898-00-00,Bulawayo,Bulawayo,Africa,Southern Rhodesia,Zimbabwe,"Bulawayo, Southern Rhodesia (now Zimbabwe)",1967-07-21,Stanger,Stanger,Africa,South Africa,South Africa,"Stanger, South Africa",,,,,,,,,,,Individual,South Africa,,,,,
1952,Peace,The Nobel Peace Prize,1,1,171135,2546652,1953-10-30,received,"for his altruism, reverence for life, and tireless humanitarian work  which has helped making the idea of brotherhood between men and nations a living one",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1952,513,Albert Schweitzer,Albert Schweitzer,Albert,Schweitzer,Albert Schweitzer,,male,http://masterdataapi.nobelprize.org/2/laureate/513,1875-01-14,Kaysersberg,Kaysersberg,Europe,Germany,France,"Kaysersberg, Germany (now France)",1965-09-04,Lambaréné,Lambaréné,Africa,Gabon,Gabon,"Lambaréné, Gabon",,,,,,,,,,,Individual,France,,,,,
1937,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,158463,4716161,,received,"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1937,332,Albert Szent-Györgyi,Albert Szent-Györgyi,Albert,Szent-Györgyi,Albert von Szent-Györgyi Nagyrápolt,,male,http://masterdataapi.nobelprize.org/2/laureate/332,1893-09-16,Budapest,Budapest,Europe,Austria-Hungary,Hungary,"Budapest, Austria-Hungary (now Hungary)",1986-10-22,"Woods Hole, MA","Woods Hole, MA",North America,USA,USA,"Woods Hole, MA, USA",,,,,,,,,,,Individual,,,"Szeged University, Szeged, Hungary",,,
1910,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,140703,7130220,,received,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1910,304,Albrecht Kossel,Albrecht Kossel,Albrecht,Kossel,Albrecht Kossel,,male,http://masterdataapi.nobelprize.org/2/laureate/304,1853-09-16,Rostock,Rostock,Europe,Mecklenburg,Germany,"Rostock, Mecklenburg (now Germany)",1927-07-05,Heidelberg,Heidelberg,Europe,Germany,Germany,"Heidelberg, Germany",,,,,,,,,,,Individual,,,"University of Heidelberg, Heidelberg, Germany",,,
1964,Physics,The Nobel Prize in Physics,3,1/4,273000,2828039,,received,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1964,83,Aleksandr M. Prokhorov,Aleksandr M. Prokhorov,Aleksandr M.,Prokhorov,Aleksandr Mikhailovich Prokhorov,,male,http://masterdataapi.nobelprize.org/2/laureate/83,1916-07-11,Atherton,Atherton,Oceania,Australia,Australia,"Atherton, Australia",2002-01-08,Moscow,Moscow,Europe,Russia,Russia,"Moscow, Russia",,,,,,,,,,,Individual,,,"P.N. Lebedev Physical Institute, Moscow, USSR (now Russia)",,,
1970,Literature,The Nobel Prize in  Literature,1,1,400000,3177966,1970-10-08,received,for the ethical force with which he has pursued the indispensable traditions of Russian literature,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1970,644,Alexandr Solzhenitsyn,Alexandr Solzhenitsyn,Alexandr,Solzhenitsyn,Aleksandr Isayevich Solzhenitsyn,,male,http://masterdataapi.nobelprize.org/2/laureate/644,1918-12-11,Kislovodsk,Kislovodsk,Europe,Russia,Russia,"Kislovodsk, Russia",2008-08-03,Troitse-Lykovo,Troitse-Lykovo,Europe,Russia,Russia,"Troitse-Lykovo, Russia",,,,,,,,,,,Individual,USSR (now Russia),,,,,
2003,Physics,The Nobel Prize in Physics,1,1/3,10000000,11807305,2003-10-07,received,for pioneering contributions to the theory of superconductors and superfluids,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2003,766,Alexei Abrikosov,Alexei Abrikosov,Alexei,Abrikosov,Alexei Alexeyevich Abrikosov,,male,http://masterdataapi.nobelprize.org/2/laureate/766,1928-06-25,Moscow,Moscow,Europe,USSR,Russia,"Moscow, USSR (now Russia)",2017-03-29,,,,,,N/A,,,,,,,,,,,Individual,,,"Argonne National Laboratory, Argonne, IL, USA",,,
1912,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,140476,6753654,,received,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1912,306,Alexis Carrel,Alexis Carrel,Alexis,Carrel,Alexis Carrel,,male,http://masterdataapi.nobelprize.org/2/laureate/306,1873-06-28,Sainte-Foy-lès-Lyon,Sainte-Foy-lès-Lyon,Europe,France,France,"Sainte-Foy-lès-Lyon, France",1944-11-05,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,,,"Rockefeller Institute for Medical Research, New York, NY, USA",,,
1982,Peace,The Nobel Peace Prize,2,1/2,1150000,3102518,1982-10-13,received,for their work for disarmament and nuclear and weapon-free zones,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1982,544,Alfonso García Robles,Alfonso García Robles,Alfonso,García Robles,Alfonso García Robles,,male,http://masterdataapi.nobelprize.org/2/laureate/544,1911-03-20,Zamora,Zamora,North America,Mexico,Mexico,"Zamora, Mexico",1991-09-02,Mexico City,Mexico City,North America,Mexico,Mexico,"Mexico City, Mexico",,,,,,,,,,,Individual,"Geneva, Switzerland",,,,,
1969,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/3,375000,3181561,,received,for their discoveries concerning the replication mechanism and the genetic structure of viruses,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1969,392,Alfred D. Hershey,Alfred D. Hershey,Alfred D.,Hershey,Alfred D. Hershey,,male,http://masterdataapi.nobelprize.org/2/laureate/392,1908-12-04,"Owosso, MI","Owosso, MI",North America,USA,USA,"Owosso, MI, USA",1997-05-22,"Syosset, NY","Syosset, NY",North America,USA,USA,"Syosset, NY, USA",,,,,,,,,,,Individual,,,"Carnegie Institution of Washington, Long Island, New York, NY, USA",,,
1911,Peace,The Nobel Peace Prize,2,1/2,140695,7327865,1911-12-10,received,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1911,479,Alfred Fried,Alfred Fried,Alfred,Fried,Alfred Hermann Fried,,male,http://masterdataapi.nobelprize.org/2/laureate/479,1864-11-11,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",1921-05-05,Vienna,Vienna,Europe,Austria,Austria,"Vienna, Austria",,,,,,,,,,,Individual,Austria,,,,,
1994,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,7000000,9249471,1994-10-10,received,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1994,450,Alfred G. Gilman,Alfred G. Gilman,Alfred G.,Gilman,Alfred G. Gilman,,male,http://masterdataapi.nobelprize.org/2/laureate/450,1941-07-01,"New Haven, CT","New Haven, CT",North America,USA,USA,"New Haven, CT, USA",2015-12-23,"Dallas, TX","Dallas, TX",North America,USA,USA,"Dallas, TX, USA",,,,,,,,,,,Individual,,,"University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA",,,
1966,Physics,The Nobel Prize in Physics,1,1,300000,2784653,,received,for the discovery and development of optical methods for studying Hertzian resonances in atoms,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1966,87,Alfred Kastler,Alfred Kastler,Alfred,Kastler,Alfred Kastler,,male,http://masterdataapi.nobelprize.org/2/laureate/87,1902-05-03,Guebwiller,Guebwiller,Europe,Germany,France,"Guebwiller, Germany (now France)",1984-01-07,Bandol,Bandol,Europe,France,France,"Bandol, France",,,,,,,,,,,Individual,,,"École Normale Supérieure, Paris, France",,,
1913,Chemistry,The Nobel Prize in Chemistry,1,1,143010,6875481,,received,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1913,174,Alfred Werner,Alfred Werner,Alfred,Werner,Alfred Werner,,male,http://masterdataapi.nobelprize.org/2/laureate/174,1866-12-12,Mulhouse,Mulhouse,Europe,France,France,"Mulhouse, France",1919-11-15,Zurich,Zurich,Europe,Switzerland,Switzerland,"Zurich, Switzerland",,,,,,,,,,,Individual,,,"University of Zurich, Zurich, Switzerland",,,
2013,Literature,The Nobel Prize in  Literature,1,1,8000000,8365867,2013-10-10,received,master of the contemporary short story,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/2013,892,Alice Munro,Alice Munro,Alice,Munro,Alice Munro,,female,http://masterdataapi.nobelprize.org/2/laureate/892,1931-07-10,Wingham,Wingham,North America,Canada,Canada,"Wingham, Canada",,,,,,,,,,,,,,,,,,Individual,Canada,,,,,
1979,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,800000,2988048,1979-10-11,received,for the development of computer assisted tomography,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1979,417,Allan M. Cormack,Allan M. Cormack,Allan M.,Cormack,Allan M. Cormack,,male,http://masterdataapi.nobelprize.org/2/laureate/417,1924-02-23,Johannesburg,Johannesburg,Africa,South Africa,South Africa,"Johannesburg, South Africa",1998-05-07,"Winchester, MA","Winchester, MA",North America,USA,USA,"Winchester, MA, USA",,,,,,,,,,,Individual,,,"Tufts University, Medford, MA, USA",,,
1911,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,140695,7327865,,received,for his work on the dioptrics of the eye,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1911,305,Allvar Gullstrand,Allvar Gullstrand,Allvar,Gullstrand,Allvar Gullstrand,,male,http://masterdataapi.nobelprize.org/2/laureate/305,1862-06-05,Landskrona,Landskrona,Europe,Sweden,Sweden,"Landskrona, Sweden",1930-07-28,Stockholm,Stockholm,Europe,Sweden,Sweden,"Stockholm, Sweden",,,,,,,,,,,Individual,,,"Uppsala University, Uppsala, Sweden",,,
1907,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,138796,7033581,,received,in recognition of his work on the role played by protozoa in causing diseases,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1907,300,Alphonse Laveran,Alphonse Laveran,Alphonse,Laveran,Charles Louis Alphonse Laveran,,male,http://masterdataapi.nobelprize.org/2/laureate/300,1845-06-18,Paris,Paris,Europe,France,France,"Paris, France",1922-05-18,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,,,"Institut Pasteur, Paris, France",,,
